Species,Longitude,Latitude
Melocactus_bahiensis,-41.95,-15.88
Melocactus_bahiensis,-42.93,-16.62
Melocactus_ernestii,-41.52,-16.57
Melocactus_bahiensis,-41.52,-16.57
Rhipsalis_lindbergiana,-43.92,-16.63
Rhipsalis_floccosa,-41.97,-13.53
Pilosocereus_pachycladus,-41.95,-15.88
Pilosocereus_pachycladus,-42.75,-15.38
Pilosocereus_pachycladus,-41.38,-15.97
Cereus_jamacaru,-43.92,-16.63
Cereus_jamacaru,-44.33,-15.83
Cereus_jamacaru,-41.95,-15.88
Tacinga_inamoena,-41.95,-13.53
Cereus_jamacaru,-36.88,-8.57
Tacinga_inamoena,-40.45,-11.15
Pilosocereus_pernambucoensis,-36.88,-8.57
Rhipsalis_floccosa,-36.4,-8.18
Rhipsalis_floccosa,-41.88,-13.28
Tacinga_inamoena,-41.83,-13.28
Rhipsalis_lindbergiana,-38.5,-11.93
Rhipsalis_lindbergiana,-40.53,-11.02
Melocactus_violaceus,-38.17,-12.75
Rhipsalis_lindbergiana,-36.48,-9.05
Tacinga_inamoena,-38.47,-9.35
Pilosocereus_catingicola,-38.2,-9.48
Rhipsalis_lindbergiana,-38.57,-8.6
Melocactus_zehntneri,-41.53,-9.48
Rhipsalis_floccosa,-38.5,-11.93
Rhipsalis_lindbergiana,-40.17,-11.98
Rhipsalis_lindbergiana,-39.73,-12.17
Rhipsalis_lindbergiana,-39.03,-12.25
Rhipsalis_lindbergiana,-40.45,-13.43
Rhipsalis_floccosa,-37.27,-11.25
Rhipsalis_lindbergiana,-40.4,-10.93
Rhipsalis_floccosa,-36.48,-9.05
Rhipsalis_floccosa,-41.33,-11.68
Melocactus_violaceus,-39.03,-16.33
Rhipsalis_floccosa,-41.43,-12.6
Melocactus_ernestii,-41.05,-14.63
Melocactus_zehntneri,-41.42,-11.45
Rhipsalis_lindbergiana,-38.08,-11.93
Melocactus_zehntneri,-43.22,-13.17
Melocactus_zehntneri,-38.3,-7.98
Melocactus_ernestii,-42.78,-14.22
Melocactus_zehntneri,-42.17,-13.63
Melocactus_bahiensis,-40.52,-11.18
Melocactus_violaceus,-40.65,-12.63
Melocactus_ernestii,-41.97,-12.03
Melocactus_zehntneri,-39.43,-13.38
Melocactus_violaceus,-38.35,-12.92
Melocactus_ernestii,-41.33,-11.47
Melocactus_ernestii,-37.27,-8.08
Melocactus_violaceus,-40.52,-11.18
Melocactus_bahiensis,-42.52,-14.28
Melocactus_bahiensis,-38.9,-9.97
Melocactus_zehntneri,-42.52,-14.25
Melocactus_ernestii,-42.65,-14.78
Melocactus_bahiensis,-41.9,-13.53
Melocactus_bahiensis,-39.18,-12.17
Melocactus_bahiensis,-41.83,-13.63
Melocactus_bahiensis,-40.65,-12.63
Melocactus_ernestii,-39.78,-12.78
Melocactus_ernestii,-41,-11.67
Melocactus_bahiensis,-36.63,-8.77
Pilosocereus_pachycladus,-44.37,-13.6
Pilosocereus_catingicola,-37.22,-10.48
Pilosocereus_pachycladus,-40.52,-11.18
Pilosocereus_pachycladus,-40.25,-9.92
Pilosocereus_pachycladus,-41.32,-11.47
Pilosocereus_pernambucoensis,-41.33,-10.33
Pilosocereus_pernambucoensis,-36.62,-9.42
Pilosocereus_pachycladus,-41.47,-13
Pilosocereus_catingicola,-39.73,-12.17
Pilosocereus_pentaedrophorus,-38.95,-11.93
Pilosocereus_pernambucoensis,-36.7,-8.37
Pilosocereus_pernambucoensis,-38.3,-9.08
Pilosocereus_pachycladus,-41.83,-13.58
Pilosocereus_pernambucoensis,-39.47,-9.83
Pilosocereus_catingicola,-36.42,-10.23
Pilosocereus_catingicola,-38.3,-9.08
Pilosocereus_catingicola,-37.42,-10.17
Pilosocereus_pernambucoensis,-39.77,-9.67
Pilosocereus_pentaedrophorus,-37.68,-10.9
Pilosocereus_pachycladus,-41.15,-11.55
Pilosocereus_catingicola,-41.18,-11.43
Pilosocereus_catingicola,-38.22,-9.4
Pilosocereus_catingicola,-37.8,-9.65
Pilosocereus_catingicola,-36.3,-10.25
Cereus_fernambucensis,-39.08,-14.97
Pilosocereus_catingicola,-41.28,-14.02
Epiphyllum_phyllanthus,-41.33,-11.68
Pilosocereus_catingicola,-39.83,-11.23
Pilosocereus_catingicola,-38.98,-12.05
Pilosocereus_pentaedrophorus,-41.47,-13
Pilosocereus_catingicola,-39.02,-10.52
Pilosocereus_pachycladus,-41.9,-13.53
Cereus_albicaulis,-41.32,-11.47
Pilosocereus_pentaedrophorus,-41.8,-12.8
Epiphyllum_phyllanthus,-39.25,-14.25
Cereus_albicaulis,-38.37,-8.9
Cereus_albicaulis,-39.47,-9.83
Cereus_albicaulis,-40.52,-11.18
Cereus_jamacaru,-40.45,-14.5
Cereus_albicaulis,-41.3,-9.67
Epiphyllum_phyllanthus,-36,-8.3
Pilosocereus_catingicola,-38.57,-8.6
Pilosocereus_catingicola,-39.87,-12.9
Cereus_albicaulis,-40.25,-9.92
Cereus_fernambucensis,-39.05,-14.83
Cereus_fernambucensis,-39,-14.3
Cereus_fernambucensis,-38.5,-12.97
Epiphyllum_phyllanthus,-35.5,-7.58
Cereus_albicaulis,-41.78,-12.22
Cereus_jamacaru,-41.67,-14.13
Pilosocereus_catingicola,-39.5,-11.42
Cereus_fernambucensis,-39.03,-15.33
Cereus_jamacaru,-39.87,-9.05
Rhipsalis_floccosa,-41.76,-13.12
Cereus_jamacaru,-40.2,-14.05
Tacinga_palmadora,-37.15,-8.62
Tacinga_palmadora,-40.52,-11.18
Tacinga_palmadora,-40.25,-9.92
Tacinga_palmadora,-40.48,-13.45
Tacinga_inamoena,-37.17,-8.62
Tacinga_palmadora,-41.45,-12.47
Tacinga_palmadora,-41.82,-13.75
Cereus_jamacaru,-38.57,-8.6
Tacinga_inamoena,-43.6,-9.52
Tacinga_inamoena,-38.97,-12.25
Tacinga_inamoena,-44.37,-13.6
Tacinga_inamoena,-40.25,-9.92
Tacinga_inamoena,-41.95,-11.63
Tacinga_palmadora,-39.77,-12.85
Tacinga_inamoena,-41.83,-14.42
Tacinga_palmadora,-39.83,-11.23
Tacinga_inamoena,-42.77,-10.78
Tacinga_palmadora,-39.87,-9.97
Tacinga_inamoena,-39.83,-11.23
Tacinga_inamoena,-39.97,-13.53
Tacinga_palmadora,-39.82,-11.37
Pilosocereus_pachycladus,-41.98,-13.5
Pilosocereus_pentaedrophorus,-41.82,-13.75
Tacinga_palmadora,-41.37,-15.95
Cereus_jamacaru,-41.7,-13.65
Pilosocereus_pachycladus,-41.82,-13.75
Cereus_fernambucensis,-38.06667,-12.35
Tacinga_inamoena,-37.562989,-9.475817
Tacinga_palmadora,-37.562989,-9.475817
Melocactus_violaceus,-39.85,-12.883333
Pilosocereus_pachycladus,-43.20477,-15.80553
Tacinga_inamoena,-41.32693,-11.492925
Cereus_albicaulis,-41.596667,-13.143056
Tacinga_inamoena,-40.383333,-13.918056
Melocactus_zehntneri,-40.383333,-13.916667
Pilosocereus_catingicola,-35.17917,-6.08045
Rhipsalis_floccosa,-39.948333,-13.549722
Pilosocereus_catingicola,-36.96405,-5.537925
Pilosocereus_pernambucoensis,-37.237387,-8.555557
Tacinga_inamoena,-42.733889,-15.615833
Tacinga_palmadora,-40.416667,-13.475925
Tacinga_inamoena,-40.416667,-13.475925
Cereus_jamacaru,-37.33584,-5.196845
Tacinga_inamoena,-41.365833,-9.458333
Tacinga_inamoena,-41.909222,-7.305417
Tacinga_inamoena,-38.221167,-9.612806
Tacinga_inamoena,-35.935556,-6.249444
Tacinga_inamoena,-36.113778,-6.173861
Tacinga_inamoena,-42.50575,-9.237222
Tacinga_inamoena,-43.808611,-8.284167
Tacinga_inamoena,-42.245417,-9.478333
Tacinga_inamoena,-43.593833,-8.121167
Tacinga_inamoena,-41.879972,-7.235556
Tacinga_inamoena,-42.908611,-9.042167
Tacinga_inamoena,-40.792417,-9.314389
Tacinga_palmadora,-38.221167,-9.612806
Tacinga_inamoena,-38.04,-4.854167
Tacinga_inamoena,-38.159361,-5.282222
Tacinga_inamoena,-42.059694,-8.109111
Pilosocereus_pachycladus,-41,-13
Pilosocereus_pachycladus,-44.951944,-12.962778
Melocactus_ernestii,-39.479722,-12.829444
Rhipsalis_lindbergiana,-36.930556,-10.036419
Pilosocereus_catingicola,-35.192128,-5.820112
Melocactus_ernestii,-40.215337,-14.329655
Pilosocereus_pachycladus,-42.502,-14.875
Pilosocereus_pachycladus,-42.75,-12.821
Cereus_jamacaru,-41.593,-13.255
Melocactus_zehntneri,-42.75,-12.821
Melocactus_zehntneri,-37.233611,-8.518889
Melocactus_ernestii,-42.85245,-14.20939
Tacinga_palmadora,-39.866069,-12.740441
Pilosocereus_pachycladus,-41.593,-13.255
Melocactus_bahiensis,-41.593,-13.255
Cereus_albicaulis,-40.889,-10.452
Pilosocereus_pentaedrophorus,-41.593,-13.161
Cereus_albicaulis,-41.9909,-13.3639
Pilosocereus_pentaedrophorus,-40.903611,-11.913333
Pilosocereus_pernambucoensis,-37.490229,-8.72517
Epiphyllum_phyllanthus,-38.951944,-12.958611
Pilosocereus_pernambucoensis,-42.658056,-12.801944
Cereus_albicaulis,-37.298333,-7.298056
Melocactus_ernestii,-37.183056,-8.18
Cereus_jamacaru,-39.833611,-7.848333
Tacinga_palmadora,-37.202778,-8.206111
Melocactus_ernestii,-37.068611,-8.0675
Pilosocereus_pernambucoensis,-37.239167,-8.237222
Cereus_jamacaru,-39.494444,-11.485556
Pilosocereus_pernambucoensis,-37.030556,-8.031944
Epiphyllum_phyllanthus,-40.214722,-10.21
Melocactus_zehntneri,-36.603533,-10.035308
Cereus_jamacaru,-41.975556,-11.545278
Melocactus_zehntneri,-41.47056,-11.69306
Pilosocereus_catingicola,-39.115833,-12.115556
Cereus_jamacaru,-39.115833,-12.115556
Tacinga_palmadora,-38.695556,-11.699167
Pilosocereus_pachycladus,-38.695556,-11.699167
Pilosocereus_pachycladus,-38.809444,-10.800556
Tacinga_palmadora,-38.809444,-10.800556
Cereus_jamacaru,-38.809444,-10.800556
Tacinga_palmadora,-39.246944,-10.243611
Tacinga_inamoena,-35.748139,-5.535583
Tacinga_inamoena,-35.825192,-5.605456
Cereus_fernambucensis,-36.660911,-10.491011
Rhipsalis_floccosa,-39.402778,-15.205833
Tacinga_inamoena,-42.820278,-15.9675
Pilosocereus_catingicola,-38.406667,-3.843761
Melocactus_ernestii,-42.820833,-15.9675
Cereus_jamacaru,-41.318703,-12.891204
Tacinga_palmadora,-39.2,-11.5
Pilosocereus_pentaedrophorus,-39.2,-11.5
Pilosocereus_pachycladus,-36.88,-8.57
Cereus_fernambucensis,-37.6,-11.8
Rhipsalis_floccosa,-39.7,-13.5
Tacinga_inamoena,-41.15,-11.55
Tacinga_inamoena,-41.8,-16.63
Epiphyllum_phyllanthus,-42.9,-16.55
Pilosocereus_pentaedrophorus,-41.16,-13.25
Pilosocereus_pachycladus,-42.45,-15.23
Tacinga_inamoena,-43,-11
Tacinga_inamoena,-38.5,-8.05
Pilosocereus_pentaedrophorus,-41.28,-13
Rhipsalis_lindbergiana,-43.55,-16.38
Rhipsalis_lindbergiana,-40.29,-10.29
Pilosocereus_pachycladus,-41.28,-13
Pilosocereus_pentaedrophorus,-41.3,-12.23
Pilosocereus_pachycladus,-42.44,-11.07
Tacinga_inamoena,-41.5,-13.17
Tacinga_inamoena,-42.55,-16.32
Pilosocereus_pachycladus,-41.54,-13.32
Tacinga_inamoena,-42.46,-11.01
Rhipsalis_floccosa,-41.53,-13.17
Tacinga_inamoena,-41.57,-13.32
Cereus_jamacaru,-39.6025,-9.3525
Tacinga_inamoena,-39.385,-8.255
Epiphyllum_phyllanthus,-35.165012,-7.923776
Cereus_jamacaru,-36.7396,-9.6701
Pilosocereus_pachycladus,-36.7396,-9.6701
Melocactus_bahiensis,-37.257801,-8.562712
Pilosocereus_pachycladus,-37.243741,-8.5523
Cereus_jamacaru,-37.243741,-8.5523
Melocactus_bahiensis,-37.305917,-8.460854
Pilosocereus_pachycladus,-37.276284,-8.506328
Tacinga_palmadora,-37.314552,-8.508122
Tacinga_palmadora,-37.243741,-8.5523
Cereus_jamacaru,-40.91,-8.8
Cereus_jamacaru,-35.305157,-5.70183
Melocactus_ernestii,-40.268007,-14.377833
Pilosocereus_catingicola,-38.144908,-10.347994
Melocactus_zehntneri,-38.144908,-10.347994
Pilosocereus_catingicola,-37.538556,-11.338778
Melocactus_ernestii,-38.144908,-10.347994
Cereus_fernambucensis,-37.534472,-11.341611
Tacinga_inamoena,-37.538581,-9.424461
Epiphyllum_phyllanthus,-36.251164,-10.074353
Cereus_jamacaru,-38.57523,-3.740759
Rhipsalis_floccosa,-35.7509,-6.96245
Tacinga_inamoena,-41.6775,-9.310111
Pilosocereus_pachycladus,-40.886333,-9.188028
Pilosocereus_pachycladus,-40.965194,-9.553278
Cereus_jamacaru,-39.273056,-6.273611
Rhipsalis_floccosa,-39.096333,-14.333556
Epiphyllum_phyllanthus,-39.559444,-15.198889
Rhipsalis_lindbergiana,-39.564444,-15.391389
Epiphyllum_phyllanthus,-39.171667,-14.795
Tacinga_inamoena,-42.925278,-16.603889
Cereus_jamacaru,-36.898639,-7.470472
Pilosocereus_catingicola,-37.355833,-10.773056
Epiphyllum_phyllanthus,-35.921667,-9.617778
Melocactus_ernestii,-37.87,-9.981944
Tacinga_palmadora,-37.789167,-9.66
Melocactus_zehntneri,-37.87,-9.981944
Melocactus_zehntneri,-37.789167,-9.66
Cereus_fernambucensis,-34.833611,-7.028611
Tacinga_palmadora,-37.87,-9.981944
Tacinga_inamoena,-37.87,-9.981944
Pilosocereus_pentaedrophorus,-37.534167,-10.549444
Rhipsalis_floccosa,-37.438056,-11.268611
Cereus_fernambucensis,-37.130556,-11.0925
Pilosocereus_catingicola,-34.833611,-7.028611
Tacinga_inamoena,-37.789167,-9.66
Pilosocereus_catingicola,-37.038611,-10.908889
Pilosocereus_catingicola,-37.313056,-10.264444
Tacinga_palmadora,-41.278056,-13.813889
Cereus_fernambucensis,-37.038611,-10.908889
Tacinga_palmadora,-37.684167,-9.805278
Tacinga_inamoena,-40.266667,-8.983333
Melocactus_violaceus,-37.052778,-10.881389
Melocactus_violaceus,-36.855833,-10.737778
Pilosocereus_pentaedrophorus,-38.363056,-9.683611
Tacinga_inamoena,-37.690283,-9.798472
Epiphyllum_phyllanthus,-37.363333,-10.729722
Melocactus_violaceus,-37.340667,-10.75325
Rhipsalis_lindbergiana,-37.368056,-10.754167
Cereus_fernambucensis,-36.461583,-10.487306
Melocactus_violaceus,-37.364167,-10.824444
Cereus_fernambucensis,-37.087222,-10.759167
Pilosocereus_catingicola,-36.454722,-10.485833
Tacinga_palmadora,-37.156667,-9.984444
Epiphyllum_phyllanthus,-38.225556,-11.058889
Rhipsalis_floccosa,-37.165278,-10.731667
Tacinga_palmadora,-38.185,-10.703056
Pilosocereus_catingicola,-37.278056,-9.917222
Pilosocereus_pentaedrophorus,-38.309167,-11.189722
Melocactus_zehntneri,-38.309167,-11.189722
Tacinga_inamoena,-37.873333,-10.721111
Rhipsalis_floccosa,-37.1125,-10.604167
Cereus_jamacaru,-37.083056,-9.9675
Melocactus_zehntneri,-37.267472,-9.914033
Pilosocereus_pachycladus,-36.631533,-10.455019
Cereus_jamacaru,-37.590028,-10.1575
Pilosocereus_catingicola,-37.703611,-10.179333
Pilosocereus_catingicola,-36.775833,-10.6475
Cereus_fernambucensis,-36.892236,-10.767972
Epiphyllum_phyllanthus,-37.811111,-10.738333
Melocactus_violaceus,-37.348692,-10.872942
Tacinga_palmadora,-37.111942,-9.946239
Tacinga_inamoena,-37.111942,-9.946239
Cereus_jamacaru,-37.703611,-10.179333
Melocactus_zehntneri,-37.590944,-10.685208
Melocactus_violaceus,-36.828233,-10.447314
Melocactus_violaceus,-36.626758,-10.456003
Pilosocereus_pachycladus,-37.107417,-10.000108
Melocactus_zehntneri,-37.111942,-9.946239
Pilosocereus_catingicola,-37.107417,-10.000081
Epiphyllum_phyllanthus,-37.143611,-10.839611
Melocactus_violaceus,-36.804444,-10.640833
Cereus_jamacaru,-37.645278,-10.879639
Epiphyllum_phyllanthus,-37.724722,-11.068889
Cereus_fernambucensis,-36.829444,-10.699444
Tacinga_palmadora,-37.420506,-11.060556
Epiphyllum_phyllanthus,-37.131417,-10.718167
Pilosocereus_catingicola,-37.419861,-10.1035
Cereus_jamacaru,-37.419861,-10.1035
Cereus_jamacaru,-37.355528,-10.0975
Melocactus_zehntneri,-37.421611,-10.107056
Rhipsalis_lindbergiana,-37.811111,-10.738333
Pilosocereus_pentaedrophorus,-37.811111,-10.738333
Pilosocereus_catingicola,-37.130556,-11.0925
Cereus_jamacaru,-37.409756,-10.036106
Pilosocereus_pentaedrophorus,-37.419861,-10.1035
Cereus_jamacaru,-37.533889,-10.549444
Melocactus_violaceus,-36.873747,-10.678208
Rhipsalis_floccosa,-37.355833,-10.773056
Epiphyllum_phyllanthus,-44.973056,-12.363333
Pilosocereus_pentaedrophorus,-38.183333,-10.708333
Melocactus_zehntneri,-37.967694,-9.723167
Tacinga_palmadora,-37.278056,-9.917222
Tacinga_palmadora,-37.967444,-9.723972
Tacinga_palmadora,-37.549722,-10.033333
Tacinga_inamoena,-43.141389,-11.089444
Melocactus_ernestii,-37.980944,-10.888667
Cereus_jamacaru,-42.504167,-10.003333
Cereus_jamacaru,-37.684167,-9.805278
Melocactus_zehntneri,-43.141389,-11.089444
Pilosocereus_catingicola,-37.684167,-9.805278
Pilosocereus_catingicola,-38.013928,-11.173486
Rhipsalis_lindbergiana,-37.684167,-9.805278
Pilosocereus_catingicola,-37.198333,-10.226944
Cereus_albicaulis,-42.504167,-10.003333
Melocactus_ernestii,-37.684167,-9.805278
Cereus_jamacaru,-37.789167,-9.66
Cereus_jamacaru,-37.198333,-10.226944
Rhipsalis_lindbergiana,-37.493056,-10.733333
Melocactus_zehntneri,-37.684167,-9.805278
Melocactus_violaceus,-37.054167,-10.789167
Pilosocereus_catingicola,-37.425,-10.685278
Rhipsalis_lindbergiana,-36.010444,-8.391583
Rhipsalis_floccosa,-35.864444,-8.332611
Rhipsalis_floccosa,-35.791944,-6.9175
Rhipsalis_floccosa,-36.5625,-8.5625
Tacinga_inamoena,-38.896944,-8.870833
Melocactus_bahiensis,-36.043056,-8.448056
Pilosocereus_pachycladus,-36.000015,-6.660034
Cereus_jamacaru,-36.000015,-6.660034
Melocactus_bahiensis,-36.601111,-8.611944
Cereus_jamacaru,-39.030028,-7.883806
Cereus_jamacaru,-39.006639,-7.70325
Cereus_jamacaru,-39.178278,-8.091417
Cereus_albicaulis,-38.891222,-7.539167
Pilosocereus_pernambucoensis,-38.861,-7.590056
Tacinga_palmadora,-37.573417,-8.163056
Pilosocereus_pernambucoensis,-37.786667,-8.329333
Cereus_jamacaru,-37.6994,-8.2507
Pilosocereus_pachycladus,-37.234833,-8.007583
Cereus_jamacaru,-39.052139,-7.834861
Cereus_jamacaru,-34.863056,-7.115
Cereus_fernambucensis,-39.466667,-14.983333
Tacinga_palmadora,-39.168333,-9.594722
Pilosocereus_catingicola,-39.616667,-10.783333
Epiphyllum_phyllanthus,-39.536389,-15.408333
Rhipsalis_floccosa,-39.536389,-15.408333
Cereus_jamacaru,-35.75,-6.990556
Melocactus_zehntneri,-38.916667,-9.035278
Cereus_jamacaru,-38,-9.309167
Tacinga_palmadora,-40.475833,-8.166667
Melocactus_zehntneri,-40.309167,-8.285278
Cereus_albicaulis,-39.785278,-7.8925
Tacinga_palmadora,-37.701944,-8.118611
Tacinga_palmadora,-37.559167,-8.25
Melocactus_zehntneri,-38.8925,-7.701944
Pilosocereus_pachycladus,-39.6425,-8.618611
Melocactus_zehntneri,-39.559167,-8.451944
Tacinga_palmadora,-39.6425,-8.618611
Melocactus_zehntneri,-39.583333,-7.166667
Cereus_jamacaru,-35.973611,-7.285278
